step_id,agent_id,email_id,source,actual_class,workday_hour,time_of_day,suspicion_threshold,max_cues_processed,age,education_level,job_complexity,cues_extracted,decision,suspicion_counter,cues_scanned,cues_perceived,total_fatigue,final_jp,fpl
0,agent_000,1,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
1,agent_000,2,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
2,agent_000,3,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
3,agent_000,4,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
4,agent_000,5,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['spelling_grammar'],5.0,1.161,0.355
5,agent_000,6,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['spelling_grammar'],5.0,1.161,0.355
6,agent_000,7,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
7,agent_000,8,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
8,agent_000,9,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['spelling_grammar'],5.0,1.161,0.355
9,agent_000,10,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_sender'],5.0,1.161,0.355
10,agent_000,11,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
11,agent_000,12,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
12,agent_000,13,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
13,agent_000,14,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
14,agent_000,15,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
15,agent_000,16,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
16,agent_000,17,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,0,2,[],5.0,1.161,0.355
17,agent_000,18,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
18,agent_000,19,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
19,agent_000,20,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
20,agent_000,21,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['spelling_grammar'],5.0,1.161,0.355
21,agent_000,22,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
22,agent_000,23,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
23,agent_000,24,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
24,agent_000,25,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
25,agent_000,26,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
26,agent_000,27,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
27,agent_000,28,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
28,agent_000,29,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
29,agent_000,30,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
30,agent_000,31,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
31,agent_000,32,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
32,agent_000,33,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
33,agent_000,34,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
34,agent_000,35,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
35,agent_000,36,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
36,agent_000,37,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
37,agent_000,38,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
38,agent_000,39,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
39,agent_000,40,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
40,agent_000,41,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
41,agent_000,42,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
42,agent_000,43,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
43,agent_000,44,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
44,agent_000,45,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
45,agent_000,46,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
46,agent_000,47,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['spelling_grammar', 'urgency']",5.0,1.161,0.355
47,agent_000,48,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
48,agent_000,49,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
49,agent_000,50,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
50,agent_000,51,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
51,agent_000,52,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
52,agent_000,53,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
53,agent_000,54,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
54,agent_000,55,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
55,agent_000,56,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
56,agent_000,57,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
57,agent_000,58,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
58,agent_000,59,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
59,agent_000,60,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
60,agent_000,61,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
61,agent_000,62,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
62,agent_000,63,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
63,agent_000,64,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
64,agent_000,65,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
65,agent_000,66,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
66,agent_000,67,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
67,agent_000,68,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
68,agent_000,69,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
69,agent_000,70,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['urgency', 'too_good_true']",5.0,1.161,0.355
70,agent_000,71,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['spelling_grammar'],5.0,1.161,0.355
71,agent_000,72,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
72,agent_000,73,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
73,agent_000,74,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
74,agent_000,75,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
75,agent_000,76,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
76,agent_000,77,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
77,agent_000,78,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
78,agent_000,79,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
79,agent_000,80,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
80,agent_000,81,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
81,agent_000,82,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
82,agent_000,83,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
83,agent_000,84,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
84,agent_000,85,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
85,agent_000,86,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
86,agent_000,87,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
87,agent_000,88,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
