id,subject,sender,body,expected_cues,vtriad_tactic
1,Action Required: Password Expiration Notice,it_support@omniumcorp.com,"Dear Employee, as part of our ongoing efforts to enhance security, we are reminding you that your password is set to expire in the next 14 days. To avoid any disruption to your work, please take a moment to update your password by clicking on this link. If you have any questions or concerns, please do not hesitate to reach out to the IT support team.","['password expiration', 'security', 'IT support']",visceral
2,Update to Company Benefits Package,hr_department@novatiainc.com,"Dear Colleagues, we are pleased to announce an update to our company benefits package, effective immediately. The new package includes enhanced health insurance and retirement plans. For more information, please review the updated policy document shared on our internal cloud storage. If you have any questions, please reach out to the HR department.","['benefits package', 'health insurance', 'retirement plans']",tribal
3,Package Delivery Notification,mailroom@vellocorp.com,"Dear Employee, a package has been delivered to the office and is waiting for you at the mailroom. Please pick up your package at your earliest convenience and bring your employee ID for verification. If you have any questions, please contact the mailroom staff.","['package delivery', 'mailroom', 'employee ID']",visceral
4,Invoice for Recent Purchase,accounts_payable@kyriumcorp.com,"Dear Department Manager, we have received an invoice for a recent purchase made by your team. Please review the attached invoice and verify the details. If everything is in order, please approve the payment by responding to this email. If you have any questions, please reach out to the accounts payable team.","['invoice', 'payment', 'accounts payable']",danger
5,Shared Document: Quarterly Sales Report,sales_team@pulsarcorp.com,"Dear Team, the quarterly sales report is now available on our cloud storage. Please review the document and provide your feedback by commenting on the shared file. If you have any questions or concerns, please reach out to the sales team.","['quarterly sales report', 'cloud storage', 'sales team']",tribal
6,Account Verification Required,security_team@apexion.com,"Dear Employee, as part of our ongoing security efforts, we require you to verify your account information. Please click on this link to verify your account and ensure that your information is up-to-date. If you have any questions or concerns, please reach out to the security team.","['account verification', 'security', 'account information']",danger
7,Update to Company Travel Policy,hr_department@luminariinc.com,"Dear Colleagues, we are announcing an update to our company travel policy, effective immediately. The new policy includes changes to reimbursement procedures and hotel booking guidelines. Please review the updated policy document shared on our internal cloud storage. If you have any questions, please reach out to the HR department.","['travel policy', 'reimbursement procedures', 'hotel booking guidelines']",tribal
8,Payment Request for Outstanding Invoice,accounts_receivable@fluxcorp.com,"Dear Department Manager, we have an outstanding invoice that requires payment. Please review the attached invoice and arrange for payment at your earliest convenience. If you have any questions or concerns, please reach out to the accounts receivable team.","['outstanding invoice', 'payment', 'accounts receivable']",danger
9,Cloud Storage Access Request,it_support@paragoncorp.com,"Dear Employee, you have been granted access to a new cloud storage folder. Please review the folder contents and ensure that you understand the access permissions. If you have any questions or concerns, please reach out to the IT support team.","['cloud storage', 'access permissions', 'IT support']",visceral
10,Payroll Update: Direct Deposit Information,payroll_department@corvusinc.com,"Dear Employee, we are updating our payroll system and require you to verify your direct deposit information. Please review the attached form and return it to the payroll department by the specified deadline. If you have any questions, please reach out to the payroll department.","['payroll update', 'direct deposit information', 'payroll department']",tribal
11,Overdue Invoice for Q2 Services,accounts-payable@everstoncorp.com,"Dear Team, this is a reminder that our invoice for Q2 services is now overdue. To avoid any disruptions to our partnership, please settle the outstanding amount of $10,000 by the end of the week. You can find the invoice details on our shared drive. If you have any questions, please don't hesitate to reach out.","['invoice', 'overdue', 'outstanding amount']",tribal
12,Shared Document: Quarterly Sales Report,marketing@valtoragroup.com,"Hello Colleagues, I've uploaded the quarterly sales report to our cloud storage. Please review the document and provide your feedback by the end of the day. Your input is crucial in helping us refine our sales strategy. You can access the document here.","['shared document', 'quarterly sales report', 'cloud storage']",tribal
13,Security Alert: Unusual Sign-in Activity,it-security@keldinginc.com,"Dear Employees, our security system has detected unusual sign-in activity on your account. As a precautionary measure, we recommend that you change your password immediately. Please click on this link to reset your password and ensure the security of your account.","['security alert', 'unusual sign-in activity', 'password reset']",danger
14,Benefits Enrollment: Tax Form Deadline,hr-benefits@corvushealth.com,"Hello Team, this is a reminder that the deadline for benefits enrollment and tax form submission is approaching. To ensure that you receive your benefits on time, please complete the required forms and return them to the HR department by the end of the week. You can find the forms on our intranet.","['benefits enrollment', 'tax form deadline', 'HR department']",visceral
15,Software License Renewal: Adobe Creative Cloud,it-support@vantagepointtech.com,"Dear Colleagues, our software license for Adobe Creative Cloud is up for renewal. To avoid any disruptions to your work, please confirm your renewal by responding to this email. You can also purchase additional licenses if needed. Please note that the renewal deadline is next Friday.","['software license renewal', 'Adobe Creative Cloud', 'renewal deadline']",tribal
