id,subject,sender,body,expected_cues
1,Action Required: Password Expiration,it@techcorp.xyz,"Dear Customer, your IT password will expire in 24 hours. Click here to update: http://bit.ly/2WtN8I5. Failure to do so will result in account suspension. Please act now to avoid disruption. Regards, IT Department","['urgency', 'threats', 'suspicious link']"
2,Update Your HR Profile,hr@emplyee.net,"Dear Empployee, our company has updated its HR policy. Please review and acknolege the new terms by clicking this link: https://goo.gl/hrrD4. Your prompt attention is appresiated. Best, HR Team","['generic greeting', 'spelling error', 'suspicious link']"
3,Package Delivery Notification,shipping@parcelforce.io,"Dear Customer, your package is on its way. To track your parcel, click here: http://bit.ly/3aS1lK. Please note that delivery will be attempted within the next 48 hours. Regards, Shipping Department","['urgency', 'suspicious link']"
4,Overdue Invoice,accounts@billingsys.pro,"Dear Customer, your invoice is overdue. Please settle your account by clicking this link: https://tinyurl.com/4f7sA. Failure to pay will result in account suspension. Regards, Accounts Department","['urgency', 'threats', 'suspicious link']"
5,Shared Document Notification,cloud@docshare.cloud,"Dear Colleague, a new document has been shared with you. To access the file, click here: http://bit.ly/2VbN3l. Please review and respond promptly. Best, Cloud Team","['generic greeting', 'suspicious link']"
6,Account Verification Required,security@syssecure.net,"Dear User, we need to verify your account information. Please click this link to confirm: https://cutt.ly/5fR9A. This is a one-time requirment. Regards, Security Team","['generic greeting', 'spelling error', 'suspicious link']"
7,Payroll Update,payroll@emplyee.co,"Dear Empployee, our company has updated its payroll system. Please review and update your information by clicking this link: http://bit.ly/3bN1lK. Your prompt attention is appresiated. Best, Payroll Team","['generic greeting', 'spelling error', 'suspicious link']"
8,Cloud Storage Notification,cloud@storagesys.io,"Dear Customer, your cloud storage is almost full. To upgrade your plan, click here: https://goo.gl/hrrD4. Please act now to avoid data loss. Regards, Cloud Team","['urgency', 'suspicious link']"
9,Invoice Payment Request,accounts@invoicingsys.pro,"Dear Customer, please settle your outstanding invoice by clicking this link: https://tinyurl.com/4f7sA. Failure to pay will result in account suspension. Regards, Accounts Department","['urgency', 'threats', 'suspicious link']"
10,Package Delivery Confirmation,shipping@deliverysys.xyz,"Dear Customer, your package has been shipped. To track your parcel, click here: http://bit.ly/2WtN8I5. Please note that delivery will be attempted within the next 48 hours. Regards, Shipping Department","['urgency', 'suspicious link']"
11,Overdue Invoice for CloudServ Services,accounts@cloudserv.xyz,"Dear Customer, your invoice for CloudServ services is overdue. Please act now to avoid suspension of your account. Click here to pay: http://bit.ly/3aRgPqf. If you have any questions, please contact our support team. Note: this is your final notice.","['urgency', 'threats', 'suspicious link']"
12,Shared Document from FileHub Storage,filehub@filehub.tld,"Dear Customer, a shared document has been uploaded to your FileHub account. Please click this link to view: https://filehub.tld/share/abc123. Note: this link will expire soon, so act now. Best, FileHub Team.","['urgency', 'generic greeting', 'suspicious link']"
13,Security Alert: Unusual Sign-in Activity,security@safezone.net,"Dear Customer, we have deteced unusual sign-in activity on your account. Please click here to verify your identiy: http://bit.ly/2WgUy2K. If you dont verify, your account will be suspended. Act now to avoid this.","['urgency', 'threats', 'spelling error', 'suspicious link']"
14,Benefits Enrollment Deadline Approaching,hr@benifitscorp.io,"Dear Employee, the deadline for benefits enrollment is approaching. Please click this link to enroll: https://benifitscorp.io/enroll/now. Note: if you dont enroll, you will miss out on importint benefits. Act now to avoid this.","['urgency', 'generic greeting', 'spelling error', 'suspicious link']"
15,Software License Renewal Notice,licensing@softcorp.xyz,"Dear Customer, your software license is due for renewal. Please click here to renew: http://bit.ly/2VbGtYf. If you dont renew, your software will stop working. Act now to avoid this.","['urgency', 'threats', 'suspicious link']"
16,Tax Form Deadline Reminder,tax@taxcorp.tld,"Dear Customer, the deadline for submitting your tax form is approaching. Please click this link to submit: https://taxcorp.tld/submit. Note: if you dont submit, you will face penaltys. Act now to avoid this.","['urgency', 'threats', 'spelling error', 'suspicious link']"
17,Payment Request for Outstanding Invoice,accounts@paycorp.io,"Dear Customer, we have an outstanding invoice that requires payment. Please click here to pay: http://bit.ly/3bNpQrF. If you dont pay, your account will be suspended. Act now to avoid this.","['urgency', 'threats', 'suspicious link']"
18,Cloud Storage Upgrade Available,cloud@cloudcorp.xyz,"Dear Customer, we are offering a cloud storage upgrade. Please click this link to upgrade: https://cloudcorp.xyz/upgrade. Note: this offer is only avaiable for a limited time, so act now.","['urgency', 'generic greeting', 'spelling error', 'suspicious link']"
19,Security Alert: Account Suspension,security@securezone.tld,"Dear Customer, we have deteced suspicious activity on your account. Please click here to verify your identiy: http://bit.ly/2WgUy2K. If you dont verify, your account will be suspended. Act now to avoid this.","['urgency', 'threats', 'spelling error', 'suspicious link']"
20,Invoice Payment Reminder,accounts@payhub.net,"Dear Customer, your invoice payment is overdue. Please click here to pay: https://payhub.net/pay. Note: if you dont pay, you will face late fees. Act now to avoid this.","['urgency', 'threats', 'suspicious link']"
21,Action Required: Benefits Enrollment,hr@acmecorp.xyz,"Dear Customer, your benefits enrollment is pending. Act now to avoid suspension of coverage. Please click this link to confirm: http://bit.ly/benefits-enroll. If not completed by EOD, your account will be suspended. Contact us at support@acmecorp.xyz for any queries.","['urgency', 'threats', 'suspicious link']"
22,Tax Form Update: Urgent Attention Needed,taxdept@novacorp.tld,"Dear Valued Customer, your tax form is due for updation. Failiure to do so will result in penaltys. Click here to update: https://tinyurl.com/tax-form. Your account will be suspended if not completed by tomorrow. Please contact taxdept@novacorp.tld for assistance.","['urgency', 'threats', 'spelling error', 'suspicious link']"
23,Software License Renewal Notice,licensing@protech.net,"Dear Customer, your software license is expiring soon. Renew now to avoid interuption of service. Click this link to renew: http://protech.net/renew. If not renewed, your license will be terminated. Contact licensing@protech.net for any queries.","['urgency', 'threats', 'suspicious link']"
24,Meeting Invite: Calendar Update Required,calendar@univcorp.edu,"Dear Attendee, your meeting invite is pending confirmation. Please click this link to update your calendar: https://cal.univcorp.edu/meeting. Failure to do so will result in removal from the attendee list. Contact calendar@univcorp.edu for assistance.","['urgency', 'threats', 'suspicious link']"
25,Expense Reimbursement: Action Required,accounting@finacorp.io,"Dear Employee, your expense reimbursement is pending approval. Act now to avoid delay in payment. Click this link to upload receipts: http://finacorp.io/reimburse. If not completed by EOD, your reimbursement will be denied. Contact accounting@finacorp.io for any queries.","['urgency', 'threats', 'suspicious link']"
26,Benefits Enrollment: Final Reminder,hr@zenithcorp.tech,"Dear Customer, this is your final reminder to complete benefits enrollment. Please click this link to enroll: https://zenithcorp.tech/enroll. If not completed, your account will be suspended. Contact hr@zenithcorp.tech for assistance.","['urgency', 'threats', 'suspicious link']"
27,Tax Form: Urgent Update Required,taxteam@pinnaclecorp.co,"Dear Valued Customer, your tax form requires urgent update. Please click this link to update: http://pinnaclecorp.co/tax-form. Failure to do so will result in penalties. Contact taxteam@pinnaclecorp.co for any queries.","['urgency', 'threats', 'suspicious link']"
28,Software License Renewal: Last Chance,licensing@pulsarcorp.biz,"Dear Customer, this is your last chance to renew your software license. Renew now to avoid termination of service. Click this link to renew: https://pulsarcorp.biz/renew. If not renewed, your license will be terminated. Contact licensing@pulsarcorp.biz for assistance.","['urgency', 'threats', 'suspicious link']"
29,Meeting Invite: Update Your Calendar,calendar@apexcorp.info,"Dear Attendee, please update your calendar to confirm your meeting invite. Click this link to update: http://apexcorp.info/meeting. Failure to do so will result in removal from the attendee list. Contact calendar@apexcorp.info for any queries.","['urgency', 'threats', 'suspicious link']"
30,Expense Reimbursement: Final Notice,accounting@skylinecorp.online,"Dear Employee, this is your final notice to upload receipts for expense reimbursement. Act now to avoid delay in payment. Click this link to upload: https://skylinecorp.online/reimburse. If not completed by EOD, your reimbursement will be denied. Contact accounting@skylinecorp.online for assistance.","['urgency', 'threats', 'suspicious link']"
31,Expense Reimbursement Alert: Act Now,accounting@ezpay.xyz,"Dear Customer, your expense reimbursement is pending. Please click here to verify your account: http://bit.ly/ezpay-reimburse. If not verified within 24 hours, your account will be suspended. Please act now to avoid any issues.","['urgency', 'threats', 'suspicious link']"
32,Reimbursment Notification,payroll@fastpay.tld,"Dear Customer, you have a pending reimbursment. To recieve your payment, please visit: https://tinyurl.com/fastpay-reimburse. Your account will be closed if not verified within 3 days. Please hurry and verify your account.","['urgency', 'threats', 'spelling error', 'suspicious link']"
33,Expense Report: Verify Your Account,expenses@payme.net,"Dear Customer, your expense report has been recived. To get reimbursed, please click on this link: http://bit.ly/payme-reimburse. If you dont verify your account, you will not recieve your payment.","['urgency', 'threats', 'spelling error', 'suspicious link']"
34,Urgent: Expense Reimbursement Pending,accounting@paynow.io,"Dear Customer, your expense reimbursement is pending. Please verify your account ASAP to avoid any issues: https://cutt.ly/paynow-reimburse. If not verified, your account will be suspended.","['urgency', 'threats', 'suspicious link']"
35,Reimbursement Notification: Action Required,payroll@ezpayroll.tld,"Dear Customer, you have a pending reimbursement. To recieve your payment, please visit: http://bit.ly/ezpayroll-reimburse. Your account will be closed if not verified within 2 days. Please act now.","['urgency', 'threats', 'suspicious link']"
36,Expense Reimbursement: Deadline Approaching,accounting@paytime.xyz,"Dear Customer, your expense reimbursement deadline is approaching. Please verify your account now to avoid any issues: https://tinyurl.com/paytime-reimburse. If not verified, your account will be suspended.","['urgency', 'threats', 'suspicious link']"
37,Pending Reimbursement: Verify Your Account,expenses@payday.tld,"Dear Customer, you have a pending reimbursement. To get paid, please click on this link: http://bit.ly/payday-reimburse. If you dont verify your account, you will not recieve your payment.","['urgency', 'threats', 'suspicious link']"
38,Urgent: Expense Report Verification,payroll@paycheck.io,"Dear Customer, your expense report needs to be verified ASAP. Please visit: https://cutt.ly/paycheck-reimburse to avoid any issues. If not verified, your account will be suspended.","['urgency', 'threats', 'suspicious link']"
39,Reimbursement Alert: Action Required,accounting@payup.net,"Dear Customer, you have a pending reimbursement. To recieve your payment, please verify your account now: http://bit.ly/payup-reimburse. Your account will be closed if not verified within 24 hours.","['urgency', 'threats', 'suspicious link']"
40,Expense Reimbursement: Final Reminder,expenses@paynow.tld,"Dear Customer, this is your final reminder to verify your account: https://tinyurl.com/paynow-reimburse. If not verified, your account will be suspended and you will not recieve your payment.","['urgency', 'threats', 'suspicious link']"
41,Action Required: Package Delivery Update,support@speedyparcels.xyz,"Dear Customer, your package is awaiting delivery. Please act now and click this link to confirm: http://bit.ly/3aRbGn5. If not, your package will be returned. Regards, Speedy Parcels Team.","['urgency', 'suspicious link']"
42,Overdue Invoice for Cloud Storage Services,billing@cloudspace.io,"Dear Valued Customer, your invoice is overdue. Please pay now to avoid account suspension. Click here to settle: https://tinyurl.com/2p88bzvp. Late fees apply. Best, Cloudspace Billing.","['urgency', 'threats', 'suspicious link']"
43,Security Alert: Unusual Sign-in Activity Detected,security@safezone.net,"Dear User, we have deteced unusual sign-in activity on your account. Click here to verify your identity: http://bit.ly/2ZRNzQn. If not, your account will be suspended. Regards, Safezone Security Team.","['urgency', 'threats', 'suspicious link', 'spelling error']"
44,Benefits Enrollment: Action Required,hr@corpzone.biz,"Dear Employee, you must enroll in benefits now to avoid penalties. Click this link to enroll: https://bit.ly/3rTnVm9. Deadline is tomorrow. Best, Corpzone HR.","['urgency', 'suspicious link']"
